ID,Name,sortId,wanderingEquipId,vagrantItemLotId,vagrantBonusEneDropItemLotId,vagrantItemEneDropItemLotId,fixPrice,basicPrice,sellValue,weight,residentSpEffectId,residentSpEffectId2,residentSpEffectId3,materialSetId,partsDamageRate,corectSARecover,originEquipPro,originEquipPro1,originEquipPro2,originEquipPro3,originEquipPro4,originEquipPro5,originEquipPro6,originEquipPro7,originEquipPro8,originEquipPro9,originEquipPro10,originEquipPro11,originEquipPro12,originEquipPro13,originEquipPro14,originEquipPro15,faceScaleM_ScaleX,faceScaleM_ScaleZ,faceScaleM_MaxX,faceScaleM_MaxZ,faceScaleF_ScaleX,faceScaleF_ScaleZ,faceScaleF_MaxX,faceScaleF_MaxZ,qwcId,equipModelId,iconIdM,iconIdF,knockBack,knockbackBounceRate,durability,durabilityMax,saDurability,defFlickPower,defensePhysics,defenseMagic,defenseFire,defenseThunder,defenseSlash,defenseBlow,defenseThrust,resistPoison,resistDisease,resistBlood,resistCurse,reinforceTypeId,trophySGradeId,shopLv,knockbackParamId,flickDamageCutRate,equipModelCategory,equipModelGender,protectorCategory,defenseMaterial,defenseMaterialSfx,partsDmgType,defenseMaterial_Weak,defenseMaterialSfx_Weak,isDeposit,headEquip,bodyEquip,armEquip,legEquip,useFaceScale,invisibleFlag00,invisibleFlag01,invisibleFlag02,invisibleFlag03,invisibleFlag04,invisibleFlag05,invisibleFlag06,invisibleFlag07,invisibleFlag08,invisibleFlag09,invisibleFlag10,invisibleFlag11,invisibleFlag12,invisibleFlag13,invisibleFlag14,invisibleFlag15,invisibleFlag16,invisibleFlag17,invisibleFlag18,invisibleFlag19,invisibleFlag20,invisibleFlag21,invisibleFlag22,invisibleFlag23,invisibleFlag24,invisibleFlag25,invisibleFlag26,invisibleFlag27,invisibleFlag28,invisibleFlag29,invisibleFlag30,invisibleFlag31,invisibleFlag32,invisibleFlag33,invisibleFlag34,invisibleFlag35,invisibleFlag36,invisibleFlag37,invisibleFlag38,invisibleFlag39,invisibleFlag40,invisibleFlag41,invisibleFlag42,invisibleFlag43,invisibleFlag44,invisibleFlag45,invisibleFlag46,invisibleFlag47,disableMultiDropShare,simpleModelForDlc,pad_0,oldSortId,pad_1
372000,Mage Smith Gauntlets,42,952000,100700,100710,100720,600,200,100,1.4,-1,6300,2270,7000,1.1,0,372000,372000,372000,372000,372000,372000,372000,372000,372000,372000,372000,-1,-1,-1,-1,-1,0,0,1,1,0,0,1,1,-1,9371,1199,1203,0,0,200,200,0,0,12,16,8,10,4,8,0,7,7,9,0,0,-1,-1,1,0,1,3,2,58,59,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,42,[0|0|0|0|0|0]
900000,Head,-1,950000,-1,-1,-1,0,0,0,0,-1,6300,-1,-1,1.5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,0,1,1,-1,0,1097,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,5,3,0,59,59,0,60,60,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,[0|0|0|0|0|0]
901000,Body,-1,951000,-1,-1,-1,0,0,0,0,-1,6300,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,0,1,1,-1,0,1098,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,2,3,1,59,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,[0|0|0|0|0|0]
902000,Arms,-1,952000,-1,-1,-1,0,0,0,0,-1,6300,-1,-1,1.1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,0,1,1,-1,0,1099,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,3,2,59,59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-1,[0|0|0|0|0|0]
903000,Legs,-1,953000,-1,-1,-1,0,0,0,0,-1,6300,-1,-1,1.1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,0,1,1,-1,0,1100,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,6,3,3,59,59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,[0|0|0|0|0|0]
2190000,Barbarian Helm,244,950000,-1,-1,-1,0,0,0,3,-1,6300,-1,7200,1.3,-0.1,2190000,2190000,2190000,2190000,2190000,2190000,2190000,2190000,2190000,2190000,2190000,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,6200,1101,1101,0,0,300,300,5,0,12,10,2,13,15,20,-3,25,25,10,0,0,-1,-1,1,0,5,3,0,57,56,0,63,63,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,[0|0|0|0|0|0]
2191000,Barbarian Armor,245,951000,-1,-1,-1,0,0,0,6,-1,6300,-1,7200,1,-0.1,2191000,2191000,2191000,2191000,2191000,2191000,2191000,2191000,2191000,2191000,2191000,-1,-1,-1,-1,-1,0,0,1,1,0,0,1,1,-1,6200,1102,1102,0,0,300,300,9,0,30,21,4,17,15,20,-3,75,75,20,0,0,-1,-1,1,0,2,3,1,57,56,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,-1,[0|0|0|0|0|0]
2192000,Barbarian Gauntlets,246,952000,-1,-1,-1,0,0,0,3.6,-1,6300,-1,7200,1.1,-0.1,2192000,2192000,2192000,2192000,2192000,2192000,2192000,2192000,2192000,2192000,2192000,-1,-1,-1,-1,-1,0,0,1,1,0,0,1,1,-1,6200,1103,1103,0,0,300,300,5,0,12,10,2,14,15,20,-3,28,28,12,0,0,-1,-1,1,0,1,3,2,57,56,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-1,[0|0|0|0|0|0]
2193000,Barbarian Legs,247,953000,-1,-1,-1,0,0,0,4.6,-1,6300,-1,7200,1.1,-0.1,2193000,2193000,2193000,2193000,2193000,2193000,2193000,2193000,2193000,2193000,2193000,-1,-1,-1,-1,-1,0,0,1,1,0,0,1,1,-1,6200,1104,1104,0,0,300,300,7,0,18,14,2,15,15,20,-3,60,60,15,0,0,-1,-1,1,0,6,3,3,57,56,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,[0|0|0|0|0|0]
2360000,Undead King Helm,248,950000,-1,-1,-1,0,0,0,4.5,-1,6300,-1,7200,1.1,-0.1,2360000,2360000,2360000,2360000,2360000,2360000,2360000,2360000,2360000,2360000,2360000,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,9410,1316,1316,0,0,450,450,8,0,15,7,4,10,16,-3,5,6,6,9,0,0,-1,-1,1,0,5,3,0,56,56,0,63,63,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,[0|0|0|0|0|0]
