ID,Name,behaviorVariationId,sortId,wanderingEquipId,weight,weaponWeightRate,fixPrice,basicPrice,sellValue,correctStrength,correctAgility,correctMagic,correctFaith,physGuardCutRate,magGuardCutRate,fireGuardCutRate,thunGuardCutRate,spEffectBehaviorId0,spEffectBehaviorId1,spEffectBehaviorId2,residentSpEffectId,residentSpEffectId1,residentSpEffectId2,materialSetId,originEquipWep,originEquipWep1,originEquipWep2,originEquipWep3,originEquipWep4,originEquipWep5,originEquipWep6,originEquipWep7,originEquipWep8,originEquipWep9,originEquipWep10,originEquipWep11,originEquipWep12,originEquipWep13,originEquipWep14,originEquipWep15,antiDemonDamageRate,antSaintDamageRate,antWeakA_DamageRate,antWeakB_DamageRate,vagrantItemLotId,vagrantBonusEneDropItemLotId,vagrantItemEneDropItemLotId,equipModelId,iconId,durability,durabilityMax,attackThrowEscape,parryDamageLife,attackBasePhysics,attackBaseMagic,attackBaseFire,attackBaseThunder,attackBaseStamina,saWeaponDamage,saDurability,guardAngle,staminaGuardDef,reinforceTypeId,trophySGradeId,trophySeqId,throwAtkRate,bowDistRate,equipModelCategory,equipModelGender,weaponCategory,wepmotionCategory,guardmotionCategory,atkMaterial,defMaterial,defSfxMaterial,correctType,spAttribute,spAtkcategory,wepmotionOneHandId,wepmotionBothHandId,properStrength,properAgility,properMagic,properFaith,overStrength,attackBaseParry,defenseBaseParry,guardBaseRepel,attackBaseRepel,guardCutCancelRate,guardLevel,slashGuardCutRate,blowGuardCutRate,thrustGuardCutRate,poisonGuardResist,diseaseGuardResist,bloodGuardResist,curseGuardResist,isDurabilityDivergence,rightHandEquipable,leftHandEquipable,bothHandEquipable,arrowSlotEquipable,boltSlotEquipable,enableGuard,enableParry,enableMagic,enableSorcery,enableMiracle,enableVowMagic,isNormalAttackType,isBlowAttackType,isSlashAttackType,isThrustAttackType,isEnhance,isLuckCorrect,isCustom,disableBaseChangeReset,disableRepair,isDarkHand,simpleModelForDlc,lanternWep,isVersusGhostWep,baseChangeCategory,isDragonSlayer,isDeposit,disableMultiDropShare,pad_0,oldSortId,pad_1
904000,Dark Hand,4203,1781,999000,0.5,0,1998,100,1,80,80,0,0,97,80,80,80,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1.3,1,-1,-1,-1,1004,76,999,999,1,10,200,0,0,0,10,20,0,0,60,1000,1004,-1,0,-1,7,0,9,42,2,3,53,59,0,1,123,0,10,0,0,0,0,99,0,0,50,20,0,1,0,0,0,75,75,85,50,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1781,[0|0|0|0|0|0|0|0]
1410000,Caduceus Round Shield,4801,2111,1498000,1,0,360,200,50,31,0,0,0,95,65,30,65,-1,-1,-1,-1,-1,-1,0,1410000,1410000,1410000,1410000,1410000,1410000,1410005,1410005,1410005,1410005,1410005,1410010,1410010,1410010,1410010,1410010,1,1,1,1,100700,100710,100720,1538,163,180,180,1,10,50,0,0,0,20,20,0,0,56,6000,-1,16,0,-1,7,0,12,48,2,0,54,50,0,1,0,0,15,6,0,0,0,99,0,0,50,20,0,4,0,0,0,65,65,75,60,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2111,[0|0|0|0|0|0|0|0]
1410100,Caduceus Round Shield [Crystal],4801,2112,1498000,1,0,360,200,1,31,0,0,0,95,65,30,65,-1,-1,-1,-1,-1,-1,100,1410010,1410010,1410010,1410010,1410010,1410010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,100700,100710,100720,1538,163,18,18,1,10,50,0,0,0,20,20,0,0,56,6100,-1,17,0,-1,7,0,12,48,2,0,54,50,0,1,0,0,15,6,0,0,0,99,0,0,50,20,0,4,0,0,0,65,65,75,60,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,5,0,1,0,0,2112,[0|0|0|0|0|0|0|0]
1410200,Caduceus Round Shield [Lightning],4801,2113,1498000,1,0,360,200,500,0,0,0,0,95,65,30,65,-1,-1,-1,-1,-1,-1,200,1410010,1410010,1410010,1410010,1410010,1410010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,100700,100710,100720,1538,163,180,180,1,10,50,0,0,50,20,20,0,0,56,5200,-1,18,0,-1,7,0,12,48,2,0,54,50,0,6,0,0,15,6,0,0,0,99,0,0,50,20,0,4,0,0,0,65,65,75,60,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,2113,[0|0|0|0|0|0|0|0]
1410400,Caduceus Round Shield [Magic],4801,2114,1498000,1,0,360,200,50,8,0,22,0,95,65,30,65,-1,-1,-1,-1,-1,-1,400,1410005,1410005,1410005,1410005,1410005,1410005,1410405,1410405,1410405,1410405,1410405,-1,-1,-1,-1,-1,1,1,1,1,100800,100810,100820,1538,163,180,180,1,10,38,41,0,0,20,20,0,0,56,5400,-1,20,0,-1,7,0,12,48,2,0,54,50,1,1,0,0,15,6,0,0,0,99,0,0,50,20,0,4,0,0,0,65,65,75,60,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,2114,[0|0|0|0|0|0|0|0]
1410600,Caduceus Round Shield [Divine],4801,2115,1498000,1,0,360,200,100,10,0,0,25,95,65,30,65,-1,-1,-1,-1,-1,-1,600,1410005,1410005,1410005,1410005,1410005,1410005,1410605,1410605,1410605,1410605,1410605,-1,-1,-1,-1,-1,1,1.1,1,1,100900,100910,100920,1538,163,180,180,1,10,34,41,0,0,20,20,0,0,56,5600,-1,22,0,-1,7,0,12,48,2,0,54,50,1,1,0,0,15,6,0,0,0,99,0,0,50,20,0,4,0,0,0,65,65,75,60,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,2115,[0|0|0|0|0|0|0|0]
1410800,Caduceus Round Shield [Fire],4801,2116,1498000,1,0,360,200,50,0,0,0,0,95,65,30,65,-1,-1,-1,-1,-1,-1,800,1410005,1410005,1410005,1410005,1410005,1410005,1410805,1410805,1410805,1410805,1410805,-1,-1,-1,-1,-1,1,1,1,1,101000,101010,101020,1538,163,180,180,1,10,50,0,50,0,20,20,0,0,56,6800,-1,24,0,-1,7,0,12,48,2,0,54,50,0,2,0,0,15,6,0,0,0,99,0,0,50,20,0,4,0,0,0,65,65,75,60,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,1,0,0,2116,[0|0|0|0|0|0|0|0]
1411000,Crystal Ring Shield [East-West Shield],4802,2191,1498000,3,1,240,5000,1000,0,0,85,0,100,90,70,40,-1,-1,-1,-1,-1,-1,1700,1400010,1400010,1400010,1400010,1400010,1400010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,101200,101210,101220,1531,120,120,120,1,10,0,135,0,0,20,20,0,0,69,1200,1531,-1,0,-1,7,0,12,48,2,0,54,50,0,1,92,0,15,10,0,0,0,99,0,0,50,20,0,4,0,0,0,30,30,85,50,7,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,45,0,1,0,0,2191,[0|0|0|0|0|0|0|0]
1411100,Crystal Ring Shield [Wooden Shield],4802,2192,1498000,3,1,240,5000,1000,0,0,85,0,100,90,70,40,-1,-1,-1,-1,-1,-1,1700,1401010,1401010,1401010,1401010,1401010,1401010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,101200,101210,101220,1531,120,120,120,1,10,0,135,0,0,20,20,0,0,69,1200,1531,-1,0,-1,7,0,12,48,2,0,54,50,0,1,92,0,15,10,0,0,0,99,0,0,50,20,0,4,0,0,0,30,30,85,50,7,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,45,0,1,0,0,2192,[0|0|0|0|0|0|0|0]
1411200,Crystal Ring Shield [Plank Shield],4802,2193,1498000,3,1,240,5000,1000,0,0,85,0,100,90,70,40,-1,-1,-1,-1,-1,-1,1700,1409010,1409010,1409010,1409010,1409010,1409010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,101200,101210,101220,1531,120,120,120,1,10,0,135,0,0,20,20,0,0,69,1200,1531,-1,0,-1,7,0,12,48,2,0,54,50,0,1,92,0,15,10,0,0,0,99,0,0,50,20,0,4,0,0,0,30,30,85,50,7,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,45,0,1,0,0,2193,[0|0|0|0|0|0|0|0]
