ID,Name,hit0_Radius,hit1_Radius,hit2_Radius,hit3_Radius,knockbackDist,hitStopTime,spEffectId0,spEffectId1,spEffectId2,spEffectId3,spEffectId4,hit0_DmyPoly1,hit1_DmyPoly1,hit2_DmyPoly1,hit3_DmyPoly1,hit0_DmyPoly2,hit1_DmyPoly2,hit2_DmyPoly2,hit3_DmyPoly2,blowingCorrection,atkPhysCorrection,atkMagCorrection,atkFireCorrection,atkThunCorrection,atkStamCorrection,guardAtkRateCorrection,guardBreakCorrection,atkThrowEscapeCorrection,atkSuperArmorCorrection,atkPhys,atkMag,atkFire,atkThun,atkStam,guardAtkRate,guardBreakRate,atkSuperArmor,atkThrowEscape,atkObj,guardStaminaCutRate,guardRate,throwTypeId,hit0_hitType,hit1_hitType,hit2_hitType,hit3_hitType,hti0_Priority,hti1_Priority,hti2_Priority,hti3_Priority,dmgLevel,mapHitType,guardCutCancelRate,atkAttribute,spAttribute,atkType,atkMaterial,atkSize,defMaterial,defSfxMaterial,hitSourceType,throwFlag,disableGuard,disableStaminaAttack,disableHitSpEffect,IgnoreNotifyMissSwingForAI,repeatHitSfx,isArrowAtk,isGhostAtk,isDisableNoDamage,pad
2701100,【119】メイルブレイカー_片手タメ1,0.25,0.2,0,0,1,0.08,0,0,0,0,0,100,120,-1,-1,110,-1,-1,-1,0,130,130,130,130,100,100,100,100,200,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,2,0,0,3,255,2,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
2701110,【119】メイルブレイカー_片手タメ2,0.25,0.2,0,0,1,0.08,0,0,0,0,0,100,120,-1,-1,110,-1,-1,-1,0,130,130,130,130,100,100,100,100,200,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,2,0,0,3,255,2,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
2701300,【119】メイルブレイカー_両手タメ1,0.25,0.2,0,0,1,0.08,0,0,0,0,0,100,120,-1,-1,110,-1,-1,-1,0,155,155,155,155,200,400,100,100,300,0,0,0,0,0,0,0,0,0,40,0,0,0,0,2,0,0,0,0,0,0,2,0,0,3,255,2,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
2701310,【119】メイルブレイカー_両手タメ2,0.25,0.2,0,0,1,0.08,0,0,0,0,0,100,120,-1,-1,110,-1,-1,-1,0,155,155,155,155,200,400,100,100,300,0,0,0,0,0,0,0,0,0,40,0,0,0,0,2,0,0,0,0,0,0,2,0,0,3,255,2,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
4300000,鞭_片手通常1,0.3,0.15,0.15,0.15,1.05,0.08,0,0,0,0,0,100,100,130,110,-1,130,110,120,0,100,100,100,100,220,500,100,100,100,0,0,0,0,0,0,0,0,0,20,0,0,0,2,2,0,0,0,0,0,0,2,0,0,4,255,1,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
4300010,鞭_片手通常2,0.3,0.15,0.15,0.15,1.05,0.08,0,0,0,0,0,100,100,130,110,-1,130,110,120,0,100,100,100,100,220,500,100,100,100,0,0,0,0,0,0,0,0,0,20,0,0,0,2,2,0,0,0,0,0,0,2,0,0,4,255,1,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
4300020,鞭_片手通常3,0.3,0.15,0.15,0.15,1.05,0.08,0,0,0,0,0,100,100,130,110,-1,130,110,120,0,100,100,100,100,220,500,100,100,100,0,0,0,0,0,0,0,0,0,20,0,0,0,2,2,0,0,0,0,0,0,2,0,0,4,255,1,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
4300030,鞭_片手ジャンプ1,0.3,0.15,0.15,0.15,1.2,0.08,0,0,0,0,0,100,100,130,110,-1,130,110,120,0,145,145,145,145,300,9900,100,100,100,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,255,1,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
4300100,鞭_片手タメ1,0.3,0.15,0.15,0.15,1.05,0.08,0,0,0,0,0,100,100,130,110,-1,130,110,120,0,115,115,115,115,240,500,100,100,120,0,0,0,0,0,0,0,0,0,20,0,0,0,2,2,0,0,0,0,0,0,2,0,0,4,255,1,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
4300110,鞭_片手タメ2,0.3,0.15,0.15,0.15,1.15,0.08,0,0,0,0,0,100,100,130,110,-1,130,110,120,0,125,125,125,125,240,500,100,100,120,0,0,0,0,0,0,0,0,0,20,0,0,0,2,2,0,0,0,0,0,0,3,0,0,4,255,1,255,0,255,255,0,0,1,0,0,0,0,0,0,0,0
