ID,Name,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,pad0,refId,sfxVariationId,stamina,mp,category,heroPoint,pad1,
104204100,[87] Great dragon bone _ one-handed 1,4204,100,1,0,[0|0],4204100,0,65,0,1,0,[0|0]
104204110,[87] large dragon bone _ one-handed turtle 2,4204,110,1,0,[0|0],4204110,0,65,0,1,0,[0|0]
103601000,[67] Pike _ 1H Light #1,3601,0,1,0,[0|0],3600000,0,25,0,1,0,[0|0]
103601010,[67] Pike _ 1H Light #2,3601,10,1,0,[0|0],3600010,0,25,0,1,0,[0|0]
103601020,[67] Pike _ 1H Light #3,3601,20,1,0,[0|0],3600020,0,25,0,1,0,[0|0]
103601030,[67] Pike _ 1H Jump Attack,3601,30,1,0,[0|0],3600030,0,65,0,1,0,[0|0]
103601050,[67] Pike _ 1H Fall Landing,3601,50,1,0,[0|0],3600050,0,65,0,1,0,[0|0]
103601100,[67] Pike _ one-handed 1,3601,100,1,0,[0|0],3601100,0,65,0,1,0,[0|0]
103601110,[67] Pike _ 1H Heavy #2,3601,110,1,0,[0|0],3601110,0,62,0,1,0,[0|0]
103601200,[67] Pike _ 2H Light #1,3601,200,1,0,[0|0],3600200,0,35,0,1,0,[0|0]
103601210,[67] Pike _ 2H Light #2,3601,210,1,0,[0|0],3600210,0,35,0,1,0,[0|0]
103601220,[67] Pike _ 2H Light #3,3601,220,1,0,[0|0],3600220,0,35,0,1,0,[0|0]
103601230,[67] Pike _ 2H Jump Attack,3601,230,1,0,[0|0],3600230,0,75,0,1,0,[0|0]
103601250,[67] Pike _ 2H Fall Landing,3601,250,1,0,[0|0],3600250,0,75,0,1,0,[0|0]
103601300,[67] Pike _ 2H Heavy #1,3601,300,1,0,[0|0],3601300,0,75,0,1,0,[0|0]
103601310,[67] Pike _ 2H Heavy #2,3601,310,1,0,[0|0],3601310,0,75,0,1,0,[0|0]
103601400,[67] Pike _ Left Hand Attack,3601,400,1,0,[0|0],3600400,0,25,0,2,0,[0|0]
103601460,[67] Pike _ guard medium attack,3601,460,1,0,[0|0],3600460,0,40,0,1,0,[0|0]
103601521,[67] Pike _ 1H Roll Attack (stop),3601,521,1,0,[0|0],3601521,0,30,0,1,0,[0|0]
103601531,[67] Pike _ 2H Roll Attack (stop),3601,531,1,0,[0|0],3601531,0,35,0,1,0,[0|0]
103607000,[134] Garden fork _ 1H Light #1,3607,0,1,0,[0|0],3600000,0,15,0,1,0,[0|0]
103607010,[134] Garden fork _ 1H Light #2,3607,10,1,0,[0|0],3600010,0,15,0,1,0,[0|0]
103607020,[134] Garden fork _ 1H Light #3,3607,20,1,0,[0|0],3600020,0,15,0,1,0,[0|0]
103607030,[134] Garden fork _ 1H Jump Attack,3607,30,1,0,[0|0],3600030,0,40,0,1,0,[0|0]
103607050,[134] Garden fork _ 1H Fall Landing,3607,50,1,0,[0|0],3600050,0,40,0,1,0,[0|0]
103607100,[134] Garden fork _ 1H Heavy #1,3607,100,1,0,[0|0],3600100,0,30,0,1,0,[0|0]
103607110,[134] Garden fork _ 1H Heavy #2,3607,110,1,0,[0|0],3600110,0,30,0,1,0,[0|0]
103607200,[134] Garden fork _ 2H Light #1,3607,200,1,0,[0|0],3600200,0,20,0,1,0,[0|0]
103607210,[134] Garden fork _ 2H Light #2,3607,210,1,0,[0|0],3600210,0,20,0,1,0,[0|0]
103607220,[134] Garden fork _ Both hands usually 3,3607,220,1,0,[0|0],3600220,0,20,0,1,0,[0|0]
103607230,[134] Garden fork _ 2H Jump Attack,3607,230,1,0,[0|0],3600230,0,55,0,1,0,[0|0]
103607250,[134] Garden fork _ 2H Fall Landing,3607,250,1,0,[0|0],3600250,0,55,0,1,0,[0|0]
103607300,[134] Garden fork _ hands holding,3607,300,1,0,[0|0],3607300,0,50,0,1,0,[0|0]
103607301,[134] Garden fork _ Two-handed Tame _ Empty swing,3607,301,1,0,[0|0],3607301,0,5,0,1,0,[0|0]
103607400,[134] Garden fork _ Left Hand Attack,3607,400,1,0,[0|0],3600400,0,10,0,2,0,[0|0]
103607460,[134] Garden Fork _ Guard Medium Attack,3607,460,1,0,[0|0],3600460,0,24,0,1,0,[0|0]
103607520,[134] Garden fork _ 1H Roll Attack,3607,520,1,0,[0|0],3600520,0,15,0,1,0,[0|0]
103607530,[134] Garden fork _ hands dash,3607,530,1,0,[0|0],3600530,0,20,0,1,0,[0|0]
103804030,[111] dress _ 1H Jump Attack,3804,30,1,0,[0|0],3800030,0,65,0,1,0,[0|0]
103804050,[111] dress _ 1H Fall Landing,3804,50,1,0,[0|0],3800050,0,40,0,1,0,[0|0]
103804100,[111] Dress _ 1H Heavy #1,3804,100,1,0,[0|0],3804100,0,65,0,1,0,[0|0]
103804110,[111] Dress _ 1H Heavy #2,3804,110,1,0,[0|0],3804110,0,65,0,1,0,[0|0]
103804200,[111] dress _ 2H Light #1,3804,200,1,0,[0|0],3800200,0,35,0,1,0,[0|0]
103804210,[111] dress _ 2H Light #2,3804,210,1,0,[0|0],3800210,0,35,0,1,0,[0|0]
103804220,[111] dress _ 2H Light #3,3804,220,1,0,[0|0],3800220,0,35,0,1,0,[0|0]
103804230,[111] dress _ 2H Jump Attack,3804,230,1,0,[0|0],3800230,0,75,0,1,0,[0|0]
103804250,[111] dress _ 2H Fall Landing,3804,250,1,0,[0|0],3800250,0,55,0,1,0,[0|0]
103804300,[111] dress _ 2H Heavy #1,3804,300,1,0,[0|0],3804300,0,75,0,1,0,[0|0]
103804310,[111] dress _ 2H Heavy #2,3804,310,1,0,[0|0],3804310,0,75,0,1,0,[0|0]
103804530,[111] dress _ 2H Roll Attack,3804,530,1,0,[0|0],3800530,0,40,0,1,0,[0|0]
104300000,whip _ 1H Light #1,4300,0,1,0,[0|0],4300000,0,5,0,1,0,[0|0]
104300010,whip_1H Light #2,4300,10,1,0,[0|0],4300010,0,5,0,1,0,[0|0]
104300020,whip_1H Light #3,4300,20,1,0,[0|0],4300020,0,5,0,1,0,[0|0]
104300030,whip_1H Jump Attack,4300,30,1,0,[0|0],4300030,0,25,0,1,0,[0|0]
104300050,whip_1H Fall Landing,4300,50,1,0,[0|0],4300050,0,25,0,1,0,[0|0]
104300100,whip_one-handed 1,4300,100,1,0,[0|0],4300100,0,15,0,1,0,[0|0]
104300110,whip_one-handed turtle 2,4300,110,1,0,[0|0],4300110,0,20,0,1,0,[0|0]
104300200,Whip _ 2H Light #1,4300,200,1,0,[0|0],4300200,0,10,0,1,0,[0|0]
104300210,whip _ 2H Light #2,4300,210,1,0,[0|0],4300210,0,10,0,1,0,[0|0]
104300220,Whip _ 2H Light #3,4300,220,1,0,[0|0],4300220,0,10,0,1,0,[0|0]
104300230,whip_2H Jump Attack,4300,230,1,0,[0|0],4300230,0,30,0,1,0,[0|0]
104300250,whip_2H Fall Landing,4300,250,1,0,[0|0],4300250,0,30,0,1,0,[0|0]
104300300,Whip_2H Heavy #1,4300,300,1,0,[0|0],4300300,0,20,0,1,0,[0|0]
104300310,whip _ 2H Heavy #2,4300,310,1,0,[0|0],4300310,0,20,0,1,0,[0|0]
104300400,whip_Left Hand Attack,4300,400,1,0,[0|0],4300400,0,5,0,2,0,[0|0]
104300520,whip_1H Roll Attack,4300,520,1,0,[0|0],4300520,0,10,0,1,0,[0|0]
104300530,whip _ 2H Roll Attack,4300,530,1,0,[0|0],4300530,0,15,0,1,0,[0|0]
