ID,Name,behaviorVariationId,sortId,wanderingEquipId,weight,weaponWeightRate,fixPrice,basicPrice,sellValue,correctStrength,correctAgility,correctMagic,correctFaith,physGuardCutRate,magGuardCutRate,fireGuardCutRate,thunGuardCutRate,spEffectBehaviorId0,spEffectBehaviorId1,spEffectBehaviorId2,residentSpEffectId,residentSpEffectId1,residentSpEffectId2,materialSetId,originEquipWep,originEquipWep1,originEquipWep2,originEquipWep3,originEquipWep4,originEquipWep5,originEquipWep6,originEquipWep7,originEquipWep8,originEquipWep9,originEquipWep10,originEquipWep11,originEquipWep12,originEquipWep13,originEquipWep14,originEquipWep15,antiDemonDamageRate,antSaintDamageRate,antWeakA_DamageRate,antWeakB_DamageRate,vagrantItemLotId,vagrantBonusEneDropItemLotId,vagrantItemEneDropItemLotId,equipModelId,iconId,durability,durabilityMax,attackThrowEscape,parryDamageLife,attackBasePhysics,attackBaseMagic,attackBaseFire,attackBaseThunder,attackBaseStamina,saWeaponDamage,saDurability,guardAngle,staminaGuardDef,reinforceTypeId,trophySGradeId,trophySeqId,throwAtkRate,bowDistRate,equipModelCategory,equipModelGender,weaponCategory,wepmotionCategory,guardmotionCategory,atkMaterial,defMaterial,defSfxMaterial,correctType,spAttribute,spAtkcategory,wepmotionOneHandId,wepmotionBothHandId,properStrength,properAgility,properMagic,properFaith,overStrength,attackBaseParry,defenseBaseParry,guardBaseRepel,attackBaseRepel,guardCutCancelRate,guardLevel,slashGuardCutRate,blowGuardCutRate,thrustGuardCutRate,poisonGuardResist,diseaseGuardResist,bloodGuardResist,curseGuardResist,isDurabilityDivergence,rightHandEquipable,leftHandEquipable,bothHandEquipable,arrowSlotEquipable,boltSlotEquipable,enableGuard,enableParry,enableMagic,enableSorcery,enableMiracle,enableVowMagic,isNormalAttackType,isBlowAttackType,isSlashAttackType,isThrustAttackType,isEnhance,isLuckCorrect,isCustom,disableBaseChangeReset,disableRepair,isDarkHand,simpleModelForDlc,lanternWep,isVersusGhostWep,baseChangeCategory,isDragonSlayer,isDeposit,disableMultiDropShare,pad_0,oldSortId,pad_1
102000,Ghost Blade,2003,31,199000,0.5,0,200,2000,100,12,110,0,0,45,10,30,30,-1,-1,-1,-1,-1,-1,1200,102000,102000,102000,102000,102000,102000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,101300,101310,101320,103,3,100,100,1,10,110,0,0,0,10,5,0,0,26,1200,-1,-1,27,-1,7,0,0,20,2,0,50,50,0,1,120,0,10,5,0,0,0,99,0,0,10,20,0,1,0,0,0,40,40,40,30,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,45,0,1,0,0,31,[0|0|0|0|0|0|0|0]
208000,Silv. Knight Str. Sword,2303,191,299000,6,1,600,2000,100,8,52,0,0,50,10,35,35,-1,-1,-1,-1,-1,-1,1200,208000,208000,208000,208000,208000,208000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,101300,101310,101320,212,14,300,300,1,10,175,0,0,0,25,20,0,0,32,1200,212,-1,0,-1,7,0,1,23,2,0,50,50,0,1,55,0,10,16,17,0,0,99,0,0,10,20,0,2,0,0,0,40,40,40,38,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,45,0,1,0,0,191,[0|0|0|0|0|0|0|0]
209000,Astora's Straight Sword,2300,192,299000,3,0,320,2000,100,51,51,0,100,50,10,35,35,-1,-1,-1,-1,-1,-1,1200,209000,209000,209000,209000,209000,209000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.2,1,1,101300,101310,101320,271,159,160,160,1,10,80,80,0,0,25,20,0,0,32,1200,271,-1,0,-1,7,0,1,23,2,0,50,50,0,1,0,0,10,10,10,0,14,99,0,0,10,20,0,2,0,0,0,40,40,40,38,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,45,0,1,0,0,192,[0|0|0|0|0|0|0|0]
210000,Darksword,2304,161,299000,6,1,400,200,50,51,51,0,0,50,10,35,35,-1,-1,-1,-1,-1,-1,0,210000,210000,210000,210000,210000,210000,210005,210005,210005,210005,210005,210010,210010,210010,210010,210010,1,1,1,1,100700,100710,100720,260,16,200,200,1,10,85,0,0,0,25,20,0,0,32,0,-1,16,0,-1,7,0,1,23,2,0,50,50,0,1,57,0,10,16,16,0,0,99,0,0,10,20,0,2,0,0,0,40,40,40,38,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,161,[0|0|0|0|0|0|0|0]
210100,Darksword [Crystal],2304,162,299000,6,1,400,200,1,51,51,0,0,50,10,35,35,-1,-1,-1,-1,-1,-1,100,210010,210010,210010,210010,210010,210010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,100700,100710,100720,260,16,20,20,1,10,85,0,0,0,25,20,0,0,32,100,-1,17,0,-1,7,0,1,23,2,0,50,50,0,1,57,0,10,16,16,0,0,99,0,0,10,20,0,2,0,0,0,40,40,40,38,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,5,0,1,0,0,162,[0|0|0|0|0|0|0|0]
210200,Darksword [Lightning],2304,163,299000,6,1,400,200,500,0,0,0,0,50,10,35,35,-1,-1,-1,-1,-1,-1,200,210010,210010,210010,210010,210010,210010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,100700,100710,100720,260,16,200,200,1,10,85,0,0,85,25,20,0,0,32,200,-1,18,0,-1,7,0,1,23,2,0,50,50,0,6,57,0,10,16,16,0,0,99,0,0,10,20,0,2,0,0,0,40,40,40,38,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,0,1,0,0,163,[0|0|0|0|0|0|0|0]
210300,Darksword [Raw],2304,164,299000,6,1,400,200,50,38,38,0,0,50,10,35,35,-1,-1,-1,-1,-1,-1,300,210005,210005,210005,210005,210005,210005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,260,16,200,200,1,10,97,0,0,0,25,20,0,0,32,300,-1,19,0,-1,7,0,1,23,2,0,50,50,0,1,57,0,10,16,16,0,0,99,0,0,10,20,0,2,0,0,0,40,40,40,38,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,15,0,1,0,0,164,[0|0|0|0|0|0|0|0]
210400,Darksword [Magic],2304,165,299000,6,1,400,200,50,14,14,73,0,50,10,35,35,-1,-1,-1,-1,-1,-1,400,210005,210005,210005,210005,210005,210005,210405,210405,210405,210405,210405,-1,-1,-1,-1,-1,1,1,1,1,100800,100810,100820,260,16,200,200,1,10,65,70,0,0,25,20,0,0,32,400,-1,20,0,-1,7,0,1,23,2,0,50,50,1,1,57,0,10,16,16,0,0,99,0,0,10,20,0,2,0,0,0,40,40,40,38,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,20,0,1,0,0,165,[0|0|0|0|0|0|0|0]
210500,Darksword [Enchanted],2304,166,299000,6,1,400,200,50,10,10,72,0,50,10,35,35,-1,-1,-1,-1,-1,-1,500,210405,210405,210405,210405,210405,210405,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,100800,100810,100820,260,16,200,200,1,10,65,69,0,0,25,20,0,0,32,500,-1,21,0,-1,7,0,1,23,2,0,50,50,1,1,57,0,10,16,16,0,0,99,0,0,10,20,0,2,0,0,0,40,40,40,38,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,22,0,1,0,0,166,[0|0|0|0|0|0|0|0]
210600,Darksword [Divine],2304,167,299000,6,1,400,200,100,20,20,0,73,50,10,35,35,-1,-1,-1,-1,-1,-1,600,210005,210005,210005,210005,210005,210005,210605,210605,210605,210605,210605,-1,-1,-1,-1,-1,1,1.1,1,1,100900,100910,100920,260,16,200,200,1,10,58,71,0,0,25,20,0,0,32,600,-1,22,0,-1,7,0,1,23,2,0,50,50,1,1,57,0,10,16,16,0,0,99,0,0,10,20,0,2,0,0,0,40,40,40,38,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,25,0,1,0,0,167,[0|0|0|0|0|0|0|0]
