ID,Name,sortId,wanderingEquipId,vagrantItemLotId,vagrantBonusEneDropItemLotId,vagrantItemEneDropItemLotId,fixPrice,basicPrice,sellValue,weight,residentSpEffectId,residentSpEffectId2,residentSpEffectId3,materialSetId,partsDamageRate,corectSARecover,originEquipPro,originEquipPro1,originEquipPro2,originEquipPro3,originEquipPro4,originEquipPro5,originEquipPro6,originEquipPro7,originEquipPro8,originEquipPro9,originEquipPro10,originEquipPro11,originEquipPro12,originEquipPro13,originEquipPro14,originEquipPro15,faceScaleM_ScaleX,faceScaleM_ScaleZ,faceScaleM_MaxX,faceScaleM_MaxZ,faceScaleF_ScaleX,faceScaleF_ScaleZ,faceScaleF_MaxX,faceScaleF_MaxZ,qwcId,equipModelId,iconIdM,iconIdF,knockBack,knockbackBounceRate,durability,durabilityMax,saDurability,defFlickPower,defensePhysics,defenseMagic,defenseFire,defenseThunder,defenseSlash,defenseBlow,defenseThrust,resistPoison,resistDisease,resistBlood,resistCurse,reinforceTypeId,trophySGradeId,shopLv,knockbackParamId,flickDamageCutRate,equipModelCategory,equipModelGender,protectorCategory,defenseMaterial,defenseMaterialSfx,partsDmgType,defenseMaterial_Weak,defenseMaterialSfx_Weak,isDeposit,headEquip,bodyEquip,armEquip,legEquip,useFaceScale,invisibleFlag00,invisibleFlag01,invisibleFlag02,invisibleFlag03,invisibleFlag04,invisibleFlag05,invisibleFlag06,invisibleFlag07,invisibleFlag08,invisibleFlag09,invisibleFlag10,invisibleFlag11,invisibleFlag12,invisibleFlag13,invisibleFlag14,invisibleFlag15,invisibleFlag16,invisibleFlag17,invisibleFlag18,invisibleFlag19,invisibleFlag20,invisibleFlag21,invisibleFlag22,invisibleFlag23,invisibleFlag24,invisibleFlag25,invisibleFlag26,invisibleFlag27,invisibleFlag28,invisibleFlag29,invisibleFlag30,invisibleFlag31,invisibleFlag32,invisibleFlag33,invisibleFlag34,invisibleFlag35,invisibleFlag36,invisibleFlag37,invisibleFlag38,invisibleFlag39,invisibleFlag40,invisibleFlag41,invisibleFlag42,invisibleFlag43,invisibleFlag44,invisibleFlag45,invisibleFlag46,invisibleFlag47,disableMultiDropShare,simpleModelForDlc,pad_0,oldSortId,pad_1
20000,Paladin Helm,215,950000,101300,101310,101320,4000,200,100,5,6200,6300,6931,7100,1.1,-0.1,20000,20000,20000,20000,20000,20000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,8200,1004,1004,0,0,500,500,8,0,22,12,13,7,15,-5,0,9,9,13,22,100,-1,-1,1,0,5,0,0,57,56,0,63,63,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,[0|0|0|0|0|0]
40000,Dark Mask,203,950000,101300,101310,101320,1200,200,100,3.8,-1,6300,2242,7100,1.3,-0.1,40000,40000,40000,40000,40000,40000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1.22,1.22,1,1,1.22,1.22,-1,9310,1012,1012,0,0,300,300,6,0,18,12,12,10,10,0,-6,8,8,12,0,100,-1,-1,1,0,5,0,0,56,56,0,63,63,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,[0|0|0|0|0|0]
90000,Six-Eyed Helm of the Channelers,161,950000,-1,-1,-1,1200,200,1,3.9,-1,6300,6933,-1,1.1,-0.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,9210,1032,1032,0,0,300,300,5,0,20,18,17,13,14,-4,0,13,13,15,0,0,-1,-1,1,0,5,0,0,57,56,0,63,63,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,[0|0|0|0|0|0]
113000,Boots of the Explorer,71,953000,-1,-1,-1,2000,200,100,4,-1,6300,3181,-1,1.1,-0.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,0,1,1,-1,9510,1043,1043,0,0,500,500,6,0,14,10,11,7,15,-5,0,6,6,8,5,0,-1,-1,1,0,6,3,3,57,56,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,[0|0|0|0|0|0]
140000,Mask of the Sealer,89,950000,101300,101310,101320,1600,200,100,1.5,-1,6300,6932,7100,1.5,0,140000,140000,140000,140000,140000,140000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1.2,1.2,1,1,1.2,1.2,-1,9260,1052,1052,0,0,400,400,6,0,12,12,7,9,0,10,0,8,8,8,8,100,-1,-1,1,0,5,3,0,58,59,0,60,60,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,[0|0|0|0|0|0]
180000,Cleric Helm,52,950000,100700,100710,100720,2500,200,100,4.8,6200,6300,6941,7200,1.3,-0.1,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,-1,-1,-1,-1,-1,1,1,1.1,1.1,1,1,1.1,1.1,-1,9340,1068,1113,0,0,500,500,8,0,15,9,8,6,15,0,0,6,6,9,0,0,-1,-1,1,0,5,3,0,57,56,0,63,63,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,[0|0|0|0|0|0]
240000,Pharis's Hat,84,950000,100700,100710,100720,750,200,100,1.2,-1,6300,2080,7000,1.5,0,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,9420,1093,1169,0,0,250,250,0,0,7,5,7,6,0,6,0,5,5,6,0,0,-1,-1,1,0,5,3,0,58,59,0,60,60,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,[0|0|0|0|0|0]
270000,Ornstein's Helm,179,950000,-1,-1,-1,3500,200,100,5.5,6200,6300,6942,-1,1.1,-0.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,9470,1121,1121,0,0,700,700,9,0,32,16,22,18,13,-5,0,8,8,18,8,0,-1,-1,1,0,5,0,0,56,56,0,63,63,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,[0|0|0|0|0|0]
320000,Black Knight Helm,153,950000,101300,101310,101320,2750,200,100,5,6200,6300,6944,7100,1.1,-0.1,320000,320000,320000,320000,320000,320000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,9490,1141,1141,0,0,550,550,8,0,21,11,18,6,13,-5,-2,6,6,12,0,100,-1,-1,1,0,5,0,0,56,56,0,63,63,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,[0|0|0|0|0|0]
340000,Witch Hat,93,950000,101300,101310,101320,750,200,1000,1.1,-1,6300,6940,7100,1.5,0,340000,340000,340000,340000,340000,340000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,9230,1149,1149,0,0,250,250,4,0,9,12,6,7,0,11,0,10,10,10,11,100,-1,-1,1,0,5,3,0,58,59,0,60,60,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,[0|0|0|0|0|0]
