ID,Name,equipId,value,mtrlId,eventFlag,qwcId,sellQuantity,shopType,equipType,pad_0
1421,[Andre] Blacksmith Hammer,810000,10000,-1,-1,-1,-1,0,0,[0|0|0|0|0|0|0|0]
6222,[Giant Blacksmith] Blacksmith Giant Hammer,811000,20000,-1,-1,-1,-1,0,0,[0|0|0|0|0|0|0|0]
6311,[Vamos] Royal Helm,580000,10000,-1,-1,-1,-1,0,1,[0|0|0|0|0|0|0|0]
6312,[Vamos] Vamos's Hammer,812000,10000,-1,-1,-1,-1,0,0,[0|0|0|0|0|0|0|0]
6427,[Marvellous Chester] Snickering Top Hat,700000,5000,-1,-1,-1,-1,0,1,[0|0|0|0|0|0|0|0]
6428,[Marvellous Chester] Chester's Long Coat,701000,8000,-1,-1,-1,-1,0,1,[0|0|0|0|0|0|0|0]
6429,[Marvellous Chester] Chester's Gloves,702000,5000,-1,-1,-1,-1,0,1,[0|0|0|0|0|0|0|0]
6430,[Marvellous Chester] Chester's Trousers,703000,5000,-1,-1,-1,-1,0,1,[0|0|0|0|0|0|0|0]
6612,[Hawkeye Gough] Gough's Helm,680000,5000,-1,-1,-1,-1,0,1,[0|0|0|0|0|0|0|0]
6613,[Hawkeye Gough] Gough's Armor,681000,10000,-1,-1,-1,-1,0,1,[0|0|0|0|0|0|0|0]
6614,[Hawkeye Gough] Gough's Gauntlets,682000,5000,-1,-1,-1,-1,0,1,[0|0|0|0|0|0|0|0]
6615,[Hawkeye Gough] Gough's Leggings,683000,5000,-1,-1,-1,-1,0,1,[0|0|0|0|0|0|0|0]
6616,[Hawkeye Gough] Porcelain Mask,670000,5000,-1,-1,-1,-1,0,1,[0|0|0|0|0|0|0|0]
6617,[Hawkeye Gough] Lord's Blade Robe,671000,10000,-1,-1,-1,-1,0,1,[0|0|0|0|0|0|0|0]
6618,[Hawkeye Gough] Lord's Blade Gloves,672000,5000,-1,-1,-1,-1,0,1,[0|0|0|0|0|0|0|0]
6619,[Hawkeye Gough] Lord's Blade Waistcloth,673000,5000,-1,-1,-1,-1,0,1,[0|0|0|0|0|0|0|0]
